"source","commit","blob","source_sha256","dest","dest_sha256_at_import","treatment","note"
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link5_collision_2.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","6b563bff798a9b4607e3ae7e4e2847f13c0bda0b","823ab6c8f7b1d79e0844fa071d82a03499ff68e34fddb1ba3451032c22736040","assets/mjcf/panda/assets/link5_collision_2.obj","823ab6c8f7b1d79e0844fa071d82a03499ff68e34fddb1ba3451032c22736040","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6.stl","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","2e9594a873f97e572ec68a4e0ab6d65f41f5007e","20b768e99a0e0440b5754dcca108016434e57937cc356acd9c352ccd3cb27f77","assets/mjcf/panda/assets/link6.stl","20b768e99a0e0440b5754dcca108016434e57937cc356acd9c352ccd3cb27f77","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_0.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","a1816531102045e49d1bb7e533df8eb1dea2e87f","0504c70ebf1b284ee8faae7dcb896b8830bc672a6552015dd5dbd121fa031fb9","assets/mjcf/panda/assets/link6_0.obj","0504c70ebf1b284ee8faae7dcb896b8830bc672a6552015dd5dbd121fa031fb9","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_1.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","7548d77d2984209889c7fa4c4afc36427783d021","45f7ca77695198b6d86ec2417ad4e42e6275044f0f96266699ee8e1057757ac1","assets/mjcf/panda/assets/link6_1.obj","45f7ca77695198b6d86ec2417ad4e42e6275044f0f96266699ee8e1057757ac1","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_10.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","9ff9ebdc5ce9055b2c2b0abb83de8d3fd6a04b83","365f26c21d10332cab8d8704645cb46930c30b3085956f2d097498c793f24db4","assets/mjcf/panda/assets/link6_10.obj","365f26c21d10332cab8d8704645cb46930c30b3085956f2d097498c793f24db4","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_11.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","4fdbfcd4255c063a62f3425ef15ecd03d511978d","8ae61e08b3ad064f25bbf03b22e59cc15d65883b5a7ce92711aff29df2493901","assets/mjcf/panda/assets/link6_11.obj","8ae61e08b3ad064f25bbf03b22e59cc15d65883b5a7ce92711aff29df2493901","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_12.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","e5e59fa4b6d69d7f9133f9761456432c928d6902","f28d1bfd62b0244ffd19fb35fe9edefdf583d3c9167db944e87185d919e1d021","assets/mjcf/panda/assets/link6_12.obj","f28d1bfd62b0244ffd19fb35fe9edefdf583d3c9167db944e87185d919e1d021","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_13.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","e3e7a2e37284f9c66845b24708b5f3b20216cfd6","0a55fa92dccb261d07200e6565fca4c850fd17f0c1ecf38821c0b97d51796c7d","assets/mjcf/panda/assets/link6_13.obj","0a55fa92dccb261d07200e6565fca4c850fd17f0c1ecf38821c0b97d51796c7d","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_14.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","3a28c781c3de90a5b23c1d78e1faf357888f5ec7","750ae3ee4781e62e3a045c662195247b03f6642b05aa93104f08258e5f6eba26","assets/mjcf/panda/assets/link6_14.obj","750ae3ee4781e62e3a045c662195247b03f6642b05aa93104f08258e5f6eba26","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_15.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","154c260c3664c349a83ea86cec2586368544a5c8","5999c1c2497a004a7c4bbe034cdf13744f839d85ae7a11b1bc386c48a3e642e6","assets/mjcf/panda/assets/link6_15.obj","5999c1c2497a004a7c4bbe034cdf13744f839d85ae7a11b1bc386c48a3e642e6","そのまま",""
